Time ( Second ),RawData ...,RawData ...,RawData ...,RawData ...
1430, , , , 
1431, , , , 
1432, , , , 
1433, , , , 
1434, , , , 
1435, , , , 
1436, , , , 
1437, , , , 
1438, , , , 
1439, , , , 
1440, , , , 
1441, , , , 
1442, , , , 
1443, , , , 
1444, , , , 
1445, , , , 
1446, , , , 
1447, , , , 
1448, , , , 
1449, , , , 
1450, , , , 
1451, , , , 
1452, , , , 
1453, , , , 
1454, , , , 
1455, , , , 
1456, , , , 
1457, , , , 
1458, , , , 
1459, , , , 
1460, , , , 
1461, , , , 
1462, , , , 
1463, , , , 
1464, , , , 
1465, , , , 
1466, , , , 
1467, , , , 
1468, , , , 
1469, , , , 
1470, , , , 
1471, , , , 
1472, , , , 
1473, , , , 
1474, , , , 
1475, , , , 
1476, , , , 
1477, , , , 
1478, , , , 
1479, , , , 
1480, , , , 
1481, , , , 
1482, , , , 
1483, , , , 
1484, , , , 
1485, , , , 
1486, , , , 
1487, , , , 
1488, , , , 
1489, , , , 
1490, , , , 
1491, , , , 
1492, , , , 
1493, , , , 
1494, , , , 
1495, , , , 
1496, , , , 
1497, , , , 
1498, , , , 
1499, , , , 
1500, , , , 
1501, , , , 
1502, , , , 
1503, , , , 
1504, , , , 
1505, , , , 
1506, , , , 
1507, , , , 
1508, , , , 
1509, , , , 
1510, , , , 
1511, , , , 
1512, , , , 
1513, , , , 
1514, , , , 
1515, , , , 
1516, , , , 
1517, , , , 
1518, , , , 
1519, , , , 
1520, , , , 
1521, , , , 
1522, , , , 
1523, , , , 
1524, , , , 
1525, , , , 
1526, , , , 
1527, , , , 
1528, , , , 
1529, , , , 
1530, , , , 
1531, , , , 
1532, , , , 
1533, , , , 
1534, , , , 
1535, , , , 
1536, , , , 
1537, , , , 
1538, , , , 
1539, , , , 
1540, , , , 
1541, , , , 
1542, , , , 
1543, , , , 
1544, , , , 
1545, , , , 
1546, , , , 
1547, , , , 
1548, , , , 
